file,sourceFiles,nRuns,gas1,gas2,composition1,composition2,electricField,gap,pressure,pressureBar,temperature,npe,neTotal,niTotal,neMean,niMean,gainSim,alphaEff,alphaFromNe,alphaFromNi,vz,validForAlpha,alphaSource
rootBackup/ar_99.0_cf4_1.0_0.1kVcm_0.050bar_0.5700mm_50npe.root,rootBackup/ar_99.0_cf4_1.0_0.1kVcm_0.050bar_0.5700mm_50npe.root,1,ar,cf4,99.0,1.0,100.0,0.57,37.50308415,0.05,293.15,50,50.0,0.0,1.0,0.0,1.0,,,,,False,simulation_npe_weighted
rootBackup/ar_99.0_cf4_1.0_0.4kVcm_0.050bar_0.5700mm_50npe.root,rootBackup/ar_99.0_cf4_1.0_0.4kVcm_0.050bar_0.5700mm_50npe.root,1,ar,cf4,99.0,1.0,355.556884,0.57,37.50308415,0.05,293.15,50,49.0,0.0,0.98,0.0,0.98,,,,,False,simulation_npe_weighted
rootBackup/ar_99.0_cf4_1.0_0.5kVcm_0.050bar_0.5700mm_50npe.root,rootBackup/ar_99.0_cf4_1.0_0.5kVcm_0.050bar_0.5700mm_50npe.root,1,ar,cf4,99.0,1.0,542.682047,0.57,37.50308415,0.05,293.15,50,50.0,1.0,1.0,0.02,1.0,,,,,False,simulation_npe_weighted
rootBackup/ar_99.0_cf4_1.0_0.8kVcm_0.050bar_0.5700mm_50npe.root,rootBackup/ar_99.0_cf4_1.0_0.8kVcm_0.050bar_0.5700mm_50npe.root,1,ar,cf4,99.0,1.0,828.288856,0.57,37.50308415,0.05,293.15,50,59.0,9.0,1.18,0.18,1.18,2.9037620785539184,2.9037620785539184,3.1578947368421053,,True,simulation_npe_weighted
rootBackup/ar_99.0_cf4_1.0_1.0kVcm_0.050bar_0.5700mm_50npe.root,rootBackup/ar_99.0_cf4_1.0_1.0kVcm_0.050bar_0.5700mm_50npe.root,1,ar,cf4,99.0,1.0,1000.0,0.57,37.50308415,0.05,293.15,50,72.0,23.0,1.44,0.46,1.44,6.397247606805426,6.397247606805426,8.070175438596491,,True,simulation_npe_weighted
rootBackup/ar_99.0_cf4_1.0_1.2kVcm_0.050bar_0.5700mm_50npe.root,rootBackup/ar_99.0_cf4_1.0_1.2kVcm_0.050bar_0.5700mm_50npe.root,1,ar,cf4,99.0,1.0,1245.817839,0.57,37.50308415,0.05,293.15,50,85.0,35.0,1.7,0.7,1.7,9.309267562494218,9.309267562494218,12.280701754385966,,True,simulation_npe_weighted
rootBackup/ar_99.0_cf4_1.0_1.3kVcm_0.050bar_0.5700mm_50npe.root,rootBackup/ar_99.0_cf4_1.0_1.3kVcm_0.050bar_0.5700mm_50npe.root,1,ar,cf4,99.0,1.0,1264.206974,0.57,37.50308415,0.05,293.15,50,91.0,41.0,1.82,0.82,1.82,10.505903527872,10.505903527872,14.385964912280702,,True,simulation_npe_weighted
rootBackup/ar_99.0_cf4_1.0_1.6kVcm_0.050bar_0.5700mm_50npe.root,rootBackup/ar_99.0_cf4_1.0_1.6kVcm_0.050bar_0.5700mm_50npe.root,1,ar,cf4,99.0,1.0,1552.062089,0.57,37.50308415,0.05,293.15,50,131.0,81.0,2.62,1.62,2.62,16.897795048649222,16.897795048649222,28.421052631578952,,True,simulation_npe_weighted
rootBackup/ar_99.0_cf4_1.0_1.9kVcm_0.050bar_0.5700mm_50npe.root,rootBackup/ar_99.0_cf4_1.0_1.9kVcm_0.050bar_0.5700mm_50npe.root,1,ar,cf4,99.0,1.0,1929.543374,0.57,37.50308415,0.05,293.15,50,206.0,158.0,4.12,3.16,4.12,24.839529181779564,24.839529181779564,55.43859649122808,,True,simulation_npe_weighted
rootBackup/ar_99.0_cf4_1.0_2.4kVcm_0.050bar_0.5700mm_50npe.root,rootBackup/ar_99.0_cf4_1.0_2.4kVcm_0.050bar_0.5700mm_50npe.root,1,ar,cf4,99.0,1.0,2408.896729,0.57,37.50308415,0.05,293.15,50,372.0,323.0,7.44,6.46,7.44,35.208260506052646,35.208260506052646,113.33333333333334,,True,simulation_npe_weighted
rootBackup/ar_99.0_cf4_1.0_2.9kVcm_0.050bar_0.5700mm_50npe.root,rootBackup/ar_99.0_cf4_1.0_2.9kVcm_0.050bar_0.5700mm_50npe.root,1,ar,cf4,99.0,1.0,2945.038042,0.57,37.50308415,0.05,293.15,50,789.0,739.0,15.78,14.78,15.78,48.39900553364436,48.39900553364436,259.2982456140351,,True,simulation_npe_weighted
rootBackup/ar_99.0_cf4_1.0_3.0kVcm_0.050bar_0.5700mm_50npe.root,rootBackup/ar_99.0_cf4_1.0_3.0kVcm_0.050bar_0.5700mm_50npe.root,1,ar,cf4,99.0,1.0,3001.046518,0.57,37.50308415,0.05,293.15,50,911.0,861.0,18.22,17.22,18.22,50.92140161108443,50.92140161108443,302.10526315789474,,True,simulation_npe_weighted
rootBackup/ar_99.0_cf4_1.0_3.7kVcm_0.050bar_0.5700mm_50npe.root,rootBackup/ar_99.0_cf4_1.0_3.7kVcm_0.050bar_0.5700mm_50npe.root,1,ar,cf4,99.0,1.0,3738.757289,0.57,37.50308415,0.05,293.15,50,2741.0,2691.0,54.82,53.82,54.82,70.24658054166035,70.24658054166035,944.2105263157896,,True,simulation_npe_weighted
